accident,where,date,time,whether,state
負傷,神戸市中央区,2016/12/27,10,晴,乾燥
負傷,神戸市中央区,2016/12/17,8,晴,乾燥
負傷,神戸市中央区,2017/1/6,15,晴,乾燥
負傷,神戸市中央区,2017/1/6,17,晴,乾燥
負傷,神戸市中央区,2016/12/28,9,晴,乾燥
負傷,神戸市中央区,2017/1/14,14,晴,乾燥
負傷,神戸市中央区,2017/1/11,11,曇,乾燥
負傷,神戸市中央区,2017/1/30,9,雨,湿潤
負傷,神戸市中央区,2017/1/26,12,晴,乾燥
負傷,神戸市中央区,2017/1/25,11,晴,乾燥
負傷,神戸市中央区,2017/2/14,16,晴,乾燥
負傷,神戸市中央区,2017/1/20,7,曇,乾燥
負傷,神戸市中央区,2017/2/18,3,曇,乾燥
負傷,神戸市中央区,2017/2/18,18,晴,乾燥
負傷,神戸市中央区,2017/2/20,17,雨,湿潤
負傷,神戸市中央区,2017/2/19,19,晴,乾燥
負傷,神戸市中央区,2017/3/8,14,曇,乾燥
負傷,神戸市中央区,2017/3/19,10,晴,乾燥
負傷,神戸市中央区,2017/3/19,16,晴,乾燥
負傷,神戸市中央区,2017/2/19,16,晴,乾燥
負傷,神戸市中央区,2017/3/18,14,曇,乾燥
負傷,神戸市中央区,2017/3/21,11,雨,湿潤
負傷,神戸市中央区,2017/4/6,16,雨,湿潤
負傷,神戸市中央区,2017/4/10,11,曇,乾燥
負傷,神戸市中央区,2017/4/16,17,晴,乾燥
負傷,神戸市中央区,2017/4/25,12,晴,乾燥
負傷,神戸市中央区,2017/4/27,17,晴,乾燥
負傷,神戸市中央区,2017/5/13,10,雨,湿潤
負傷,神戸市中央区,2017/5/21,17,晴,乾燥
負傷,神戸市中央区,2017/5/8,7,晴,乾燥
負傷,神戸市中央区,2017/6/6,12,晴,乾燥
負傷,神戸市中央区,2017/6/8,20,晴,乾燥
負傷,神戸市中央区,2017/6/7,18,雨,湿潤
負傷,神戸市中央区,2017/7/9,10,曇,乾燥
負傷,神戸市中央区,2017/7/4,18,雨,湿潤
負傷,神戸市中央区,2017/7/13,7,晴,乾燥
負傷,神戸市中央区,2017/7/20,15,晴,乾燥
負傷,神戸市中央区,2017/8/4,13,晴,乾燥
負傷,神戸市中央区,2017/7/31,11,晴,乾燥
負傷,神戸市中央区,2017/8/9,11,晴,乾燥
負傷,神戸市中央区,2017/8/14,8,晴,乾燥
負傷,神戸市中央区,2017/8/12,13,晴,乾燥
負傷,神戸市中央区,2017/8/21,14,晴,乾燥
負傷,神戸市中央区,2017/8/22,7,晴,乾燥
負傷,神戸市中央区,2017/9/1,12,晴,乾燥
負傷,神戸市中央区,2017/8/27,15,晴,乾燥
負傷,神戸市中央区,2017/8/6,15,晴,乾燥
負傷,神戸市中央区,2017/8/10,16,晴,乾燥
負傷,神戸市中央区,2017/9/22,9,曇,乾燥
負傷,神戸市中央区,2017/10/3,13,晴,乾燥
負傷,神戸市中央区,2017/10/6,18,雨,湿潤
負傷,神戸市中央区,2017/10/16,18,雨,湿潤
負傷,神戸市中央区,2017/10/18,18,曇,乾燥
負傷,神戸市中央区,2017/10/28,15,雨,湿潤
負傷,神戸市中央区,2017/11/10,11,晴,乾燥
負傷,神戸市中央区,2017/10/29,10,雨,湿潤
負傷,神戸市中央区,2017/11/16,8,晴,乾燥
負傷,神戸市中央区,2017/11/13,15,晴,乾燥
負傷,神戸市中央区,2017/11/15,11,晴,乾燥
負傷,神戸市中央区,2017/11/13,17,晴,乾燥
