accident,where,time,whether,state,date
負傷,神戸市中央区,12,晴,乾燥,2019/1/1
負傷,神戸市兵庫区,19,雨,湿潤,2019/1/1
負傷,神戸市垂水区,16,曇,乾燥,2019/1/1
負傷,神戸市垂水区,20,曇,湿潤,2019/1/1
負傷,神戸市中央区,18,晴,乾燥,2019/1/2
負傷,神戸市中央区,2,晴,乾燥,2019/1/2
負傷,神戸市東灘区,14,晴,乾燥,2019/1/2
負傷,神戸市北区,16,晴,乾燥,2019/1/2
負傷,神戸市北区,17,晴,乾燥,2019/1/2
負傷,神戸市須磨区,11,晴,乾燥,2019/1/2
負傷,神戸市垂水区,15,晴,乾燥,2019/1/2
負傷,神戸市西区,23,晴,乾燥,2019/1/2
負傷,神戸市中央区,3,晴,乾燥,2019/1/3
負傷,神戸市中央区,17,晴,乾燥,2019/1/3
負傷,神戸市中央区,21,晴,乾燥,2019/1/3
負傷,神戸市東灘区,10,晴,乾燥,2019/1/3
負傷,神戸市兵庫区,22,曇,乾燥,2019/1/3
負傷,神戸市北区,15,晴,乾燥,2019/1/3
負傷,神戸市北区,17,晴,乾燥,2019/1/3
負傷,神戸市長田区,10,晴,乾燥,2019/1/3
負傷,神戸市垂水区,12,晴,乾燥,2019/1/3
負傷,神戸市垂水区,16,晴,乾燥,2019/1/3
負傷,神戸市垂水区,16,晴,乾燥,2019/1/3
負傷,神戸市垂水区,18,晴,乾燥,2019/1/3
負傷,神戸市西区,18,晴,乾燥,2019/1/3
負傷,神戸市西区,7,晴,乾燥,2019/1/3
負傷,神戸市東灘区,19,晴,乾燥,2019/1/4
負傷,神戸市灘区,10,晴,乾燥,2019/1/4
負傷,神戸市灘区,11,晴,乾燥,2019/1/4
負傷,神戸市灘区,12,晴,乾燥,2019/1/4
負傷,神戸市兵庫区,17,晴,乾燥,2019/1/4
負傷,神戸市兵庫区,13,晴,乾燥,2019/1/4
負傷,神戸市長田区,8,晴,乾燥,2019/1/4
負傷,神戸市須磨区,11,晴,乾燥,2019/1/4
負傷,神戸市須磨区,10,晴,乾燥,2019/1/4
負傷,神戸市須磨区,13,晴,乾燥,2019/1/4
負傷,神戸市須磨区,14,晴,乾燥,2019/1/4
負傷,神戸市垂水区,14,晴,乾燥,2019/1/4
負傷,神戸市垂水区,11,晴,乾燥,2019/1/4
負傷,神戸市長田区,9,曇,乾燥,2019/1/5
負傷,神戸市垂水区,13,晴,乾燥,2019/1/5
負傷,神戸市垂水区,20,晴,乾燥,2019/1/5
負傷,神戸市中央区,10,晴,乾燥,2019/1/6
負傷,神戸市中央区,21,晴,乾燥,2019/1/6
負傷,神戸市北区,1,晴,乾燥,2019/1/6
負傷,神戸市長田区,15,曇,乾燥,2019/1/6
負傷,神戸市長田区,18,晴,乾燥,2019/1/6
負傷,神戸市中央区,14,晴,乾燥,2019/1/7
負傷,神戸市中央区,7,晴,乾燥,2019/1/7
負傷,神戸市中央区,13,晴,乾燥,2019/1/7
負傷,神戸市東灘区,10,晴,乾燥,2019/1/7
負傷,神戸市東灘区,11,曇,乾燥,2019/1/7
負傷,神戸市東灘区,20,晴,乾燥,2019/1/7
負傷,神戸市灘区,17,晴,乾燥,2019/1/7
負傷,神戸市灘区,21,晴,乾燥,2019/1/7
負傷,神戸市灘区,19,晴,乾燥,2019/1/7
負傷,神戸市兵庫区,16,晴,乾燥,2019/1/7
負傷,神戸市北区,7,晴,乾燥,2019/1/7
負傷,神戸市北区,20,晴,乾燥,2019/1/7
負傷,神戸市長田区,8,晴,乾燥,2019/1/7
負傷,神戸市長田区,18,晴,乾燥,2019/1/7
負傷,神戸市垂水区,15,晴,乾燥,2019/1/7
負傷,神戸市垂水区,19,晴,乾燥,2019/1/7
負傷,神戸市西区,7,晴,乾燥,2019/1/7
負傷,神戸市西区,19,晴,乾燥,2019/1/7
負傷,神戸市兵庫区,8,晴,乾燥,2019/1/8
負傷,神戸市兵庫区,16,晴,乾燥,2019/1/8
負傷,神戸市兵庫区,18,晴,乾燥,2019/1/8
負傷,神戸市北区,15,曇,乾燥,2019/1/8
負傷,神戸市北区,16,曇,乾燥,2019/1/8
負傷,神戸市長田区,12,晴,乾燥,2019/1/8
負傷,神戸市長田区,18,晴,乾燥,2019/1/8
負傷,神戸市須磨区,7,晴,乾燥,2019/1/8
負傷,神戸市須磨区,19,晴,乾燥,2019/1/8
負傷,神戸市垂水区,9,晴,乾燥,2019/1/8
負傷,神戸市垂水区,10,晴,乾燥,2019/1/8
負傷,神戸市垂水区,14,晴,乾燥,2019/1/8
負傷,神戸市垂水区,17,晴,乾燥,2019/1/8
負傷,神戸市垂水区,17,晴,乾燥,2019/1/8
負傷,神戸市西区,8,晴,乾燥,2019/1/8
負傷,神戸市西区,15,晴,乾燥,2019/1/8
負傷,神戸市中央区,1,晴,乾燥,2019/1/9
負傷,神戸市中央区,12,晴,乾燥,2019/1/9
負傷,神戸市灘区,10,晴,乾燥,2019/1/9
