accident,where,date,time,weather,state
負傷,神戸市灘区,2020/1/1,23,晴,乾燥
負傷,神戸市兵庫区,2020/1/1,11,晴,乾燥
負傷,神戸市北区,2020/1/1,11,晴,乾燥
負傷,神戸市北区,2020/1/1,7,晴,乾燥
負傷,神戸市垂水区,2020/1/1,9,晴,乾燥
負傷,神戸市西区,2020/1/1,17,晴,乾燥
負傷,神戸市西区,2020/1/1,16,晴,乾燥
負傷,神戸市中央区,2020/1/2,13,晴,乾燥
負傷,神戸市中央区,2020/1/2,12,晴,乾燥
負傷,神戸市兵庫区,2020/1/2,20,晴,乾燥
負傷,神戸市北区,2020/1/2,11,晴,乾燥
負傷,神戸市北区,2020/1/2,16,晴,乾燥
負傷,神戸市長田区,2020/1/2,15,晴,乾燥
負傷,神戸市長田区,2020/1/2,12,晴,乾燥
負傷,神戸市西区,2020/1/2,22,晴,乾燥
負傷,神戸市北区,2020/1/3,10,晴,乾燥
負傷,神戸市長田区,2020/1/3,8,晴,乾燥
負傷,神戸市西区,2020/1/3,10,晴,乾燥
負傷,神戸市中央区,2020/1/4,8,晴,乾燥
負傷,神戸市中央区,2020/1/4,8,晴,乾燥
負傷,神戸市長田区,2020/1/4,18,晴,乾燥
負傷,神戸市須磨区,2020/1/4,18,晴,乾燥
負傷,神戸市垂水区,2020/1/4,13,晴,乾燥
負傷,神戸市西区,2020/1/4,16,晴,乾燥
負傷,神戸市北区,2020/1/5,10,晴,乾燥
負傷,神戸市垂水区,2020/1/5,21,晴,乾燥
負傷,神戸市西区,2020/1/5,17,晴,乾燥
負傷,神戸市中央区,2020/1/6,14,晴,乾燥
負傷,神戸市東灘区,2020/1/6,17,晴,乾燥
負傷,神戸市東灘区,2020/1/6,19,晴,乾燥
負傷,神戸市灘区,2020/1/6,12,曇,乾燥
負傷,神戸市灘区,2020/1/6,19,曇,乾燥
負傷,神戸市長田区,2020/1/6,12,曇,乾燥
負傷,神戸市須磨区,2020/1/6,8,晴,乾燥
負傷,神戸市須磨区,2020/1/6,18,晴,乾燥
負傷,神戸市垂水区,2020/1/6,17,晴,乾燥
負傷,神戸市垂水区,2020/1/6,8,曇,乾燥
負傷,神戸市西区,2020/1/6,9,晴,乾燥
負傷,神戸市兵庫区,2020/1/7,13,曇,湿潤
負傷,神戸市北区,2020/1/7,9,雨,湿潤
負傷,神戸市北区,2020/1/7,8,雨,湿潤
負傷,神戸市北区,2020/1/7,8,雨,湿潤
負傷,神戸市北区,2020/1/7,10,雨,湿潤
負傷,神戸市須磨区,2020/1/7,13,晴,乾燥
負傷,神戸市垂水区,2020/1/7,7,曇,乾燥
負傷,神戸市垂水区,2020/1/7,8,雨,湿潤
負傷,神戸市垂水区,2020/1/7,9,曇,湿潤
