accident,where,time,whether,state,date
負傷,神戸市兵庫区,16,晴,乾燥,2017-01-01
負傷,神戸市北区,17,晴,乾燥,2017-01-01
負傷,神戸市垂水区,0,晴,乾燥,2017-01-01
負傷,神戸市垂水区,10,晴,乾燥,2017-01-01
負傷,神戸市東灘区,9,晴,乾燥,2017-01-02
負傷,神戸市東灘区,16,晴,乾燥,2017-01-02
負傷,神戸市灘区,18,晴,乾燥,2017-01-02
負傷,神戸市兵庫区,14,晴,乾燥,2017-01-02
負傷,神戸市北区,19,晴,乾燥,2017-01-02
負傷,神戸市北区,16,曇,乾燥,2017-01-02
負傷,神戸市北区,15,曇,乾燥,2017-01-02
負傷,神戸市長田区,11,晴,乾燥,2017-01-02
負傷,神戸市須磨区,15,晴,乾燥,2017-01-02
負傷,神戸市垂水区,11,晴,乾燥,2017-01-02
負傷,神戸市垂水区,14,晴,乾燥,2017-01-02
負傷,神戸市垂水区,14,晴,乾燥,2017-01-02
負傷,神戸市西区,13,晴,乾燥,2017-01-02
負傷,神戸市西区,18,晴,乾燥,2017-01-02
負傷,神戸市西区,22,晴,乾燥,2017-01-02
負傷,神戸市中央区,12,晴,乾燥,2017-01-03
負傷,神戸市中央区,20,晴,乾燥,2017-01-03
負傷,神戸市東灘区,11,晴,乾燥,2017-01-03
負傷,神戸市東灘区,12,晴,乾燥,2017-01-03
負傷,神戸市東灘区,16,晴,乾燥,2017-01-03
負傷,神戸市灘区,22,晴,乾燥,2017-01-03
負傷,神戸市灘区,18,晴,乾燥,2017-01-03
負傷,神戸市北区,20,晴,乾燥,2017-01-03
負傷,神戸市北区,12,曇,乾燥,2017-01-03
負傷,神戸市北区,9,晴,乾燥,2017-01-03
負傷,神戸市垂水区,9,晴,乾燥,2017-01-03
負傷,神戸市垂水区,23,晴,乾燥,2017-01-03
負傷,神戸市西区,1,晴,乾燥,2017-01-03
負傷,神戸市西区,21,晴,乾燥,2017-01-03
負傷,神戸市西区,17,晴,乾燥,2017-01-03
負傷,神戸市西区,20,晴,乾燥,2017-01-03
