accident,where,year,date,time,whether,state
負傷,神戸市中央区,2017,106,15,晴,乾燥
負傷,神戸市中央区,2017,106,17,晴,乾燥
負傷,神戸市中央区,2017,114,14,晴,乾燥
負傷,神戸市中央区,2017,111,11,曇,乾燥
負傷,神戸市中央区,2017,130,9,雨,湿潤
負傷,神戸市中央区,2017,126,12,晴,乾燥
負傷,神戸市中央区,2017,125,11,晴,乾燥
負傷,神戸市中央区,2017,214,16,晴,乾燥
負傷,神戸市中央区,2017,120,7,曇,乾燥
負傷,神戸市中央区,2017,218,3,曇,乾燥
負傷,神戸市中央区,2017,218,18,晴,乾燥
負傷,神戸市中央区,2017,220,17,雨,湿潤
負傷,神戸市中央区,2017,219,19,晴,乾燥
負傷,神戸市中央区,2017,308,14,曇,乾燥
負傷,神戸市中央区,2017,319,10,晴,乾燥
負傷,神戸市中央区,2017,319,16,晴,乾燥
負傷,神戸市中央区,2017,219,16,晴,乾燥
負傷,神戸市中央区,2017,318,14,曇,乾燥
負傷,神戸市中央区,2017,321,11,雨,湿潤
負傷,神戸市中央区,2017,406,16,雨,湿潤
負傷,神戸市中央区,2017,410,11,曇,乾燥
負傷,神戸市中央区,2017,416,17,晴,乾燥
負傷,神戸市中央区,2017,425,12,晴,乾燥
負傷,神戸市中央区,2017,427,17,晴,乾燥
負傷,神戸市中央区,2017,513,10,雨,湿潤
負傷,神戸市中央区,2017,521,17,晴,乾燥
負傷,神戸市中央区,2017,508,7,晴,乾燥
負傷,神戸市中央区,2017,606,12,晴,乾燥
負傷,神戸市中央区,2017,608,20,晴,乾燥
負傷,神戸市中央区,2017,607,18,雨,湿潤
負傷,神戸市中央区,2017,709,10,曇,乾燥
負傷,神戸市中央区,2017,704,18,雨,湿潤
負傷,神戸市中央区,2017,713,7,晴,乾燥
負傷,神戸市中央区,2017,720,15,晴,乾燥
負傷,神戸市中央区,2017,804,13,晴,乾燥
負傷,神戸市中央区,2017,731,11,晴,乾燥
負傷,神戸市中央区,2017,809,11,晴,乾燥
負傷,神戸市中央区,2017,814,8,晴,乾燥
負傷,神戸市中央区,2017,812,13,晴,乾燥
負傷,神戸市中央区,2017,821,14,晴,乾燥
負傷,神戸市中央区,2017,822,7,晴,乾燥
負傷,神戸市中央区,2017,901,12,晴,乾燥
負傷,神戸市中央区,2017,827,15,晴,乾燥
負傷,神戸市中央区,2017,806,15,晴,乾燥
負傷,神戸市中央区,2017,810,16,晴,乾燥
負傷,神戸市中央区,2017,922,9,曇,乾燥
負傷,神戸市中央区,2017,1003,13,晴,乾燥
負傷,神戸市中央区,2017,1006,18,雨,湿潤
負傷,神戸市中央区,2017,1016,18,雨,湿潤
負傷,神戸市中央区,2017,1018,18,曇,乾燥
負傷,神戸市中央区,2017,1028,15,雨,湿潤
負傷,神戸市中央区,2017,1110,11,晴,乾燥
負傷,神戸市中央区,2017,1029,10,雨,湿潤
負傷,神戸市中央区,2017,1116,8,晴,乾燥
負傷,神戸市中央区,2017,1113,15,晴,乾燥
負傷,神戸市中央区,2017,1115,11,晴,乾燥
負傷,神戸市中央区,2017,1113,17,晴,乾燥
負傷,神戸市中央区,2017,1113,15,晴,乾燥
負傷,神戸市中央区,2017,1017,10,雨,湿潤
負傷,神戸市中央区,2017,1124,18,晴,乾燥
負傷,神戸市中央区,2017,1208,17,雨,湿潤
負傷,神戸市中央区,2017,1225,9,曇,乾燥
負傷,神戸市中央区,2017,103,12,晴,乾燥
負傷,神戸市中央区,2017,103,20,晴,乾燥
負傷,神戸市中央区,2017,110,5,晴,乾燥
負傷,神戸市中央区,2017,110,17,晴,乾燥
負傷,神戸市中央区,2017,110,21,晴,乾燥
