accident,where,year,date,,time,whether,state
負傷,神戸市中央区,2016,1227,20161227,10,晴,乾燥
負傷,神戸市中央区,2016,1217,20161217,8,晴,乾燥
負傷,神戸市中央区,2017,0106,20170106,15,晴,乾燥
負傷,神戸市中央区,2017,0106,20170106,17,晴,乾燥
負傷,神戸市中央区,2016,1228,20161228,9,晴,乾燥
負傷,神戸市中央区,2017,0114,20170114,14,晴,乾燥
負傷,神戸市中央区,2017,0111,20170111,11,曇,乾燥
負傷,神戸市中央区,2017,0130,20170130,9,雨,湿潤
負傷,神戸市中央区,2017,0126,20170126,12,晴,乾燥
負傷,神戸市中央区,2017,0125,20170125,11,晴,乾燥
負傷,神戸市中央区,2017,0214,20170214,16,晴,乾燥
負傷,神戸市中央区,2017,0120,20170120,7,曇,乾燥
負傷,神戸市中央区,2017,0218,20170218,3,曇,乾燥
負傷,神戸市中央区,2017,0218,20170218,18,晴,乾燥
負傷,神戸市中央区,2017,0220,20170220,17,雨,湿潤
負傷,神戸市中央区,2017,0219,20170219,19,晴,乾燥
負傷,神戸市中央区,2017,0308,20170308,14,曇,乾燥
負傷,神戸市中央区,2017,0319,20170319,10,晴,乾燥
負傷,神戸市中央区,2017,0319,20170319,16,晴,乾燥
負傷,神戸市中央区,2017,0219,20170219,16,晴,乾燥
負傷,神戸市中央区,2017,0318,20170318,14,曇,乾燥
負傷,神戸市中央区,2017,0321,20170321,11,雨,湿潤
負傷,神戸市中央区,2017,0406,20170406,16,雨,湿潤
負傷,神戸市中央区,2017,0410,20170410,11,曇,乾燥
負傷,神戸市中央区,2017,0416,20170416,17,晴,乾燥
負傷,神戸市中央区,2017,0425,20170425,12,晴,乾燥
負傷,神戸市中央区,2017,0427,20170427,17,晴,乾燥
負傷,神戸市中央区,2017,0513,20170513,10,雨,湿潤
負傷,神戸市中央区,2017,0521,20170521,17,晴,乾燥
負傷,神戸市中央区,2017,0508,20170508,7,晴,乾燥
負傷,神戸市中央区,2017,0606,20170606,12,晴,乾燥
負傷,神戸市中央区,2017,0608,20170608,20,晴,乾燥
負傷,神戸市中央区,2017,0607,20170607,18,雨,湿潤
負傷,神戸市中央区,2017,0709,20170709,10,曇,乾燥
負傷,神戸市中央区,2017,0704,20170704,18,雨,湿潤
負傷,神戸市中央区,2017,0713,20170713,7,晴,乾燥
負傷,神戸市中央区,2017,0720,20170720,15,晴,乾燥
負傷,神戸市中央区,2017,0804,20170804,13,晴,乾燥
負傷,神戸市中央区,2017,0731,20170731,11,晴,乾燥
負傷,神戸市中央区,2017,0809,20170809,11,晴,乾燥
負傷,神戸市中央区,2017,0814,20170814,8,晴,乾燥
負傷,神戸市中央区,2017,0812,20170812,13,晴,乾燥
負傷,神戸市中央区,2017,0821,20170821,14,晴,乾燥
負傷,神戸市中央区,2017,0822,20170822,7,晴,乾燥
負傷,神戸市中央区,2017,0901,20170901,12,晴,乾燥
負傷,神戸市中央区,2017,0827,20170827,15,晴,乾燥
負傷,神戸市中央区,2017,0806,20170806,15,晴,乾燥
負傷,神戸市中央区,2017,0810,20170810,16,晴,乾燥
負傷,神戸市中央区,2017,0922,20170922,9,曇,乾燥
負傷,神戸市中央区,2017,1003,20171003,13,晴,乾燥
負傷,神戸市中央区,2017,1006,20171006,18,雨,湿潤
負傷,神戸市中央区,2017,1016,20171016,18,雨,湿潤
負傷,神戸市中央区,2017,1018,20171018,18,曇,乾燥
負傷,神戸市中央区,2017,1028,20171028,15,雨,湿潤
負傷,神戸市中央区,2017,1110,20171110,11,晴,乾燥
負傷,神戸市中央区,2017,1029,20171029,10,雨,湿潤
負傷,神戸市中央区,2017,1116,20171116,8,晴,乾燥
負傷,神戸市中央区,2017,1113,20171113,15,晴,乾燥
負傷,神戸市中央区,2017,1115,20171115,11,晴,乾燥
負傷,神戸市中央区,2017,1113,20171113,17,晴,乾燥
負傷,神戸市中央区,2017,1113,20171113,15,晴,乾燥
負傷,神戸市中央区,2017,1017,20171017,10,雨,湿潤
負傷,神戸市中央区,2017,1124,20171124,18,晴,乾燥
負傷,神戸市中央区,2017,1208,20171208,17,雨,湿潤
負傷,神戸市中央区,2017,1225,20171225,9,曇,乾燥
負傷,神戸市中央区,2017,0103,20170103,12,晴,乾燥
負傷,神戸市中央区,2017,0103,20170103,20,晴,乾燥
負傷,神戸市中央区,2016,1229,20161229,21,晴,乾燥
負傷,神戸市中央区,2017,0110,20170110,5,晴,乾燥
負傷,神戸市中央区,2017,0110,20170110,17,晴,乾燥
負傷,神戸市中央区,2017,0110,20170110,21,晴,乾燥
負傷,神戸市中央区,2017,0111,20170111,20,晴,乾燥
負傷,神戸市中央区,2017,0112,20170112,21,晴,乾燥
負傷,神戸市中央区,2017,0114,20170114,17,晴,乾燥
負傷,神戸市中央区,2017,0116,20170116,18,雨,湿潤
負傷,神戸市中央区,2017,0110,20170110,15,晴,乾燥
負傷,神戸市中央区,2017,0116,20170116,18,雨,湿潤
負傷,神戸市中央区,2017,0118,20170118,19,晴,乾燥
負傷,神戸市中央区,2017,0119,20170119,12,晴,乾燥
負傷,神戸市中央区,2017,0121,20170121,18,晴,乾燥
負傷,神戸市中央区,2017,0120,20170120,18,晴,乾燥
負傷,神戸市中央区,2017,0114,20170114,8,晴,湿潤
負傷,神戸市中央区,2017,0117,20170117,17,曇,乾燥
