accident,where,,time,whether,state,
負傷,神戸市兵庫区,0101,16,晴,乾燥,20170101
負傷,神戸市北区,0101,17,晴,乾燥,20170101
負傷,神戸市垂水区,0101,0,晴,乾燥,20170101
負傷,神戸市垂水区,0101,10,晴,乾燥,20170101
負傷,神戸市東灘区,0102,9,晴,乾燥,20170102
負傷,神戸市東灘区,0102,16,晴,乾燥,20170102
負傷,神戸市灘区,0102,18,晴,乾燥,20170102
負傷,神戸市兵庫区,0102,14,晴,乾燥,20170102
負傷,神戸市北区,0102,19,晴,乾燥,20170102
負傷,神戸市北区,0102,16,曇,乾燥,20170102
負傷,神戸市北区,0102,15,曇,乾燥,20170102
負傷,神戸市長田区,0102,11,晴,乾燥,20170102
負傷,神戸市須磨区,0102,15,晴,乾燥,20170102
負傷,神戸市垂水区,0102,11,晴,乾燥,20170102
負傷,神戸市垂水区,0102,14,晴,乾燥,20170102
負傷,神戸市垂水区,0102,14,晴,乾燥,20170102
負傷,神戸市西区,0102,13,晴,乾燥,20170102
負傷,神戸市西区,0102,18,晴,乾燥,20170102
負傷,神戸市西区,0102,22,晴,乾燥,20170102
負傷,神戸市中央区,0103,12,晴,乾燥,20170103
負傷,神戸市中央区,0103,20,晴,乾燥,20170103
負傷,神戸市東灘区,0103,11,晴,乾燥,20170103
負傷,神戸市東灘区,0103,12,晴,乾燥,20170103
負傷,神戸市東灘区,0103,16,晴,乾燥,20170103
負傷,神戸市灘区,0103,22,晴,乾燥,20170103
負傷,神戸市灘区,0103,18,晴,乾燥,20170103
負傷,神戸市北区,0103,20,晴,乾燥,20170103
負傷,神戸市北区,0103,12,曇,乾燥,20170103
負傷,神戸市北区,0103,9,晴,乾燥,20170103
負傷,神戸市垂水区,0103,9,晴,乾燥,20170103
負傷,神戸市垂水区,0103,23,晴,乾燥,20170103
負傷,神戸市西区,0103,1,晴,乾燥,20170103
負傷,神戸市西区,0103,21,晴,乾燥,20170103
負傷,神戸市西区,0103,17,晴,乾燥,20170103
負傷,神戸市西区,0103,20,晴,乾燥,20170103
負傷,神戸市中央区,0104,18,晴,乾燥,20170104
負傷,神戸市東灘区,0104,17,晴,乾燥,20170104
負傷,神戸市灘区,0104,11,晴,乾燥,20170104
負傷,神戸市兵庫区,0104,11,晴,乾燥,20170104
負傷,神戸市兵庫区,0104,11,晴,乾燥,20170104
負傷,神戸市兵庫区,0104,18,晴,乾燥,20170104
負傷,神戸市北区,0104,15,曇,乾燥,20170104
負傷,神戸市北区,0104,21,晴,乾燥,20170104
負傷,神戸市北区,0104,9,晴,乾燥,20170104
